player,team,position,games,wins,avg_kills,avg_deaths,avg_assists,avg_dpm,avg_cspm,avg_vision,winrate,kda,weighted_winrate,weighted_kda,primary_league,region
Closer,Misa Esports,jng,36,24,4.527777777777778,2.138888888888889,7.861111111111111,438.7898416666667,6.589188888888889,50.916666666666664,66.7,5.79,67.4,6.0,TCL,Europe
Pout,Saigon Dino,mid,24,16,4.583333333333333,2.375,8.625,749.3677791666668,8.742925,33.416666666666664,66.7,5.56,68.7,5.99,VCS,Southeast Asia
Josedeodo,Isurus,jng,24,14,3.2083333333333335,1.875,8.0,400.67442916666664,6.734358333333333,46.041666666666664,58.3,5.98,58.3,5.98,LTA S,Latin America
Devn,Crvena zvezda Esports,bot,49,33,4.551020408163265,1.9795918367346939,7.26530612244898,640.8203387755102,8.641897959183673,25.346938775510203,67.3,5.97,67.3,5.97,EBL,Europe
Ruler,Gen.G,bot,163,117,5.723926380368098,1.9631901840490797,5.938650306748467,785.0902147239264,9.80320736196319,43.39877300613497,71.8,5.94,71.0,5.97,LCK,Korea
Mihai,Partizan Sangal,bot,31,19,4.870967741935484,2.064516129032258,7.419354838709677,780.3135967741936,9.333509677419354,33.0,61.3,5.95,61.3,5.95,EBL,Europe
Comp,Gentle Mates,bot,98,53,4.663265306122449,1.6428571428571428,5.091836734693878,720.283831632653,10.149882653061225,36.51020408163265,54.1,5.94,54.1,5.94,LFL,Europe
Rewound,Falke Esports,jng,16,10,3.9375,2.375,10.125,455.7329125,5.709925,40.625,62.5,5.92,62.5,5.92,NEXO,Other
Zven,Cloud9,bot,75,48,4.72,2.1333333333333333,6.866666666666666,776.70842,9.218665333333334,35.74666666666667,64.0,5.43,64.9,5.91,LTA N,North America
Doggo,CTBC Flying Oyster,bot,119,80,5.495798319327731,1.773109243697479,5.294117647058823,763.2833319327731,9.524432773109243,42.252100840336134,67.2,6.09,60.4,5.91,LCP,Southeast Asia
Painter,T1 Esports Academy Rookies,jng,122,89,4.524590163934426,2.5901639344262297,10.770491803278688,561.1295196721311,6.7973975409836065,47.49180327868852,73.0,5.91,73.0,5.91,LAS,Latin America
DICE,QT DIG∞,mid,64,41,5.015625,2.203125,7.59375,813.3568015625,8.7834890625,31.65625,64.1,5.72,66.3,5.89,LJL,Japan
Beenie,Gwenchana,bot,10,5,4.9,1.9,6.3,679.22495,9.16543,27.9,50.0,5.89,50.0,5.89,CD,Latin America
Angel,EDward Gaming,mid,82,45,3.597560975609756,1.853658536585366,7.085365853658536,655.687106097561,8.667093902439024,41.59756097560975,54.9,5.76,54.0,5.88,LPL,China
ISMA,Karmine Corp Blue,jng,13,8,4.769230769230769,2.3846153846153846,9.23076923076923,526.7000615384616,6.415153846153847,43.69230769230769,61.5,5.87,61.5,5.87,EM,Europe
Keduii,BK ROG Esports,bot,12,7,6.166666666666667,2.3333333333333335,7.5,877.5651333333334,9.722683333333334,42.25,58.3,5.86,58.3,5.86,LFL,Europe
Smash,T1,bot,24,15,5.541666666666667,1.9166666666666667,5.666666666666667,698.5720541666666,9.71095,39.625,62.5,5.85,62.5,5.85,LCK,Korea
Bie,Saigon Dino,sup,33,23,1.8181818181818181,2.696969696969697,13.93939393939394,284.73595757575754,1.181178787878788,124.45454545454545,69.7,5.84,71.4,5.85,VCS,Southeast Asia
Retrozing,Apex Mission Impossible,mid,11,7,4.909090909090909,2.4545454545454546,9.454545454545455,742.5877181818182,7.874581818181818,27.90909090909091,63.6,5.85,63.6,5.85,NACL,North America
Vulcan,Cloud9,sup,75,48,0.7466666666666667,2.2533333333333334,12.0,193.35509066666665,1.0293706666666667,111.10666666666667,64.0,5.66,64.9,5.84,LTA N,North America
Tangyuan,LGD Gaming,mid,16,10,3.75,1.875,7.1875,625.9561625,8.69633125,33.0625,62.5,5.83,62.5,5.83,DCup,China
Senmary,We Can Win,top,11,7,5.0,2.090909090909091,7.090909090909091,821.7963,7.924872727272727,24.90909090909091,63.6,5.78,63.6,5.78,LJL,Japan
Creepano,Otter Side,bot,17,11,5.294117647058823,2.2941176470588234,7.9411764705882355,784.7007352941176,8.692241176470588,28.11764705882353,64.7,5.77,64.7,5.77,LPLOL,Other
Nawa,BBL Dark Passage,bot,22,11,5.090909090909091,1.9090909090909092,5.909090909090909,677.9713409090909,8.84034090909091,34.40909090909091,50.0,5.76,50.0,5.76,TCL,Europe
