team,games,wins,avg_kills,avg_deaths,avg_dragons,avg_barons,avg_towers,avg_gamelength,winrate,weighted_winrate,primary_league,region
Golden Lions,22,11,18.727272727272727,15.772727272727273,2.4545454545454546,0.6363636363636364,5.863636363636363,34.6,50.0,50.0,LRS,Other
Dorado Gaming,24,12,16.166666666666668,15.375,2.0833333333333335,0.4583333333333333,5.708333333333333,31.7,50.0,50.0,NACL,North America
Universae Instituto FP,32,16,14.65625,15.6875,2.28125,0.34375,5.90625,31.0,50.0,50.0,NEXO,Other
Spirit Quartz Gaming,34,17,19.205882352941178,19.352941176470587,2.0,0.6470588235294118,5.5588235294117645,33.4,50.0,50.0,LJL,Japan
Papara SuperMassive,68,34,17.66176470588235,17.279411764705884,2.235294117647059,0.5588235294117647,5.985294117647059,32.8,50.0,49.2,TCL,Europe
Zena Esports,55,27,16.945454545454545,17.418181818181818,2.2181818181818183,0.4909090909090909,5.745454545454545,30.5,49.1,49.1,LIT,Europe
KaBuM! Ilha das Lendas,53,26,15.60377358490566,15.245283018867925,2.056603773584906,0.5094339622641509,6.584905660377358,32.7,49.1,49.1,CD,Latin America
Sicar Esports,40,21,14.475,15.675,2.5,0.675,6.525,33.6,52.5,48.8,LRS,Other
E WIE EINFACH E-SPORTS,78,38,14.884615384615385,16.025641025641026,2.141025641025641,0.46153846153846156,5.961538461538462,32.9,48.7,48.7,PRM,Europe
MGN Vikings Academy,27,12,17.185185185185187,20.85185185185185,2.2962962962962963,0.5555555555555556,5.111111111111111,30.5,44.4,48.6,VCS,Southeast Asia
GTZ Esports,33,16,15.93939393939394,17.333333333333332,2.484848484848485,0.5151515151515151,5.696969696969697,31.9,48.5,48.5,LPLOL,Other
Solary,62,30,15.403225806451612,15.112903225806452,2.403225806451613,0.5645161290322581,5.919354838709677,35.4,48.4,48.4,LFL,Europe
Alpha7 Esports,41,21,14.902439024390244,16.146341463414632,1.8780487804878048,0.5853658536585366,5.439024390243903,31.7,51.2,48.2,CD,Latin America
Myth Esports,56,27,17.5,17.732142857142858,2.375,0.44642857142857145,6.0,31.4,48.2,48.2,ROL,Other
Ninjas in Pyjamas,126,60,15.301587301587302,16.08730158730159,2.1587301587301586,0.626984126984127,5.476190476190476,32.7,47.6,48.1,LPL,China
OKSavingsBank BRION Academy,48,23,17.270833333333332,16.520833333333332,2.0416666666666665,0.5,5.354166666666667,31.2,47.9,47.9,LAS,Latin America
Crusaders,23,11,15.0,17.26086956521739,1.9565217391304348,0.30434782608695654,5.130434782608695,28.3,47.8,47.8,LPLOL,Other
Divernex,38,18,17.36842105263158,18.07894736842105,1.9736842105263157,0.5526315789473685,5.894736842105263,31.8,47.4,47.4,HW,Other
Anubis Gaming,76,36,16.06578947368421,18.36842105263158,1.881578947368421,0.4473684210526316,5.947368421052632,32.4,47.4,47.4,AL,Europe
Team Liquid,69,33,14.159420289855072,13.898550724637682,2.3043478260869565,0.6086956521739131,6.0,32.9,47.8,47.4,LTA N,North America
