champion,games,winrate,avg_kills,avg_deaths,avg_assists,kda
Mordekaiser,93,0.45161290322580644,3.989247311827957,4.161290322580645,4.279569892473118,1.9870801033591734
Sett,90,0.5333333333333333,3.3333333333333335,4.233333333333333,5.966666666666667,2.1968503937007875
Swain,90,0.5666666666666667,4.033333333333333,3.2444444444444445,8.28888888888889,3.797945205479452
Twisted Fate,90,0.45555555555555555,2.311111111111111,2.8555555555555556,7.433333333333334,3.4124513618677037
Tahm Kench,89,0.3595505617977528,0.7078651685393258,3.9101123595505616,7.707865168539326,2.1522988505747125
Amumu,85,0.43529411764705883,1.7294117647058824,4.647058823529412,8.658823529411764,2.235443037974683
Zoe,85,0.5176470588235295,4.470588235294118,2.8,6.929411764705883,4.071428571428572
Gangplank,78,0.48717948717948717,3.871794871794872,3.141025641025641,6.653846153846154,3.3510204081632655
Darius,76,0.5789473684210527,5.776315789473684,3.8552631578947367,5.381578947368421,2.8941979522184305
Taric,76,0.47368421052631576,0.4473684210526316,4.25,11.289473684210526,2.761609907120743
Kog'Maw,73,0.4246575342465753,5.424657534246576,3.287671232876712,5.589041095890411,3.35
Morgana,73,0.4794520547945205,2.589041095890411,3.4657534246575343,9.36986301369863,3.450592885375494
Garen,68,0.5294117647058824,4.485294117647059,3.426470588235294,3.5294117647058822,2.3390557939914167
Aurelion Sol,68,0.5735294117647058,5.338235294117647,2.6323529411764706,6.926470588235294,4.659217877094973
Brand,67,0.43283582089552236,3.955223880597015,4.014925373134329,7.701492537313433,2.903345724907063
Xerath,64,0.53125,5.109375,2.53125,7.25,4.882716049382716
Vayne,64,0.484375,6.21875,3.375,4.59375,3.2037037037037037
Lissandra,56,0.39285714285714285,3.125,3.642857142857143,7.696428571428571,2.9705882352941178
Zac,55,0.32727272727272727,2.2545454545454544,4.236363636363636,7.4,2.278969957081545
Lux,50,0.44,2.44,3.0,7.78,3.4066666666666667
Kled,46,0.45652173913043476,2.6956521739130435,3.9347826086956523,5.413043478260869,2.060773480662983
Karthus,45,0.5777777777777777,4.6,5.155555555555556,11.177777777777777,3.0603448275862064
Anivia,45,0.4222222222222222,2.8,3.3777777777777778,6.155555555555556,2.651315789473684
Fiddlesticks,44,0.5681818181818182,1.2272727272727273,4.2272727272727275,10.0,2.6559139784946235
Diana,43,0.5116279069767442,3.697674418604651,3.86046511627907,7.72093023255814,2.9578313253012047
